ID;Kód;Název;Popis;Cena;Původní_cena;Úspora;Obrázek;Kategorie;Doporučené;Označení;Přehled_produktu;Hlavní_přínosy;Ingredience;Více_informací;Návod_k_použití;Videa;Dokumenty_a_certifikáty;
14;DC001;Dosage Cups;Odměrné kalíšky pro přesné dávkování;200;;;images/301331.png;accessories;NE;;Praktické odměrné kalíšky pro přesné dávkování olejů.;• Přesné dávkování\n• Snadné čištění\n• Kompaktní velikost\n• Opakovatelně použitelné;Potravinářský plast;Nezbytný doplňek pro přesné dávkování BalanceOil+.;Můžete mýt v myčce nádobí.;;• BPA free\n• Potravinářská kvalita;Doporučené použití: Používejte pro přesné dávkování olejů. Počet kusů v balení: 1. Trvanlivost: Nelimitovaná.
16;ZS120;ZinoShine+ 120 tablet;Antioxidační komplex pro ochranu buněk;1875;;;images/301531.png;restore;NE;;Pokročilý antioxidační komplex pro ochranu buněk před volnými radikály.;• Silný antioxidační účinek\n• Ochrana buněk před stresem\n• Podpora obnovy\n• Přírodní ingredience;Vitamin C, vitamin E, selen, zinek, koenzym Q10;Kombinace nejsilnejších antioxidantů pro maximální ochranu buněk.;2 tablety denně s jídlem.;https://example.com/zinoshine-video;• GMP certifikát\n• Klinicky testováno;
17;XC060;Xtend+ Core 60 tobolek;Základní regenerační komplex;1250;;;images/301799.png;restore;NE;;Základní regenerační komplex pro podporu obnovy a vitálnosti.;• Podpora buněčné regenerace\n• Zvýšení energie\n• Lepší výkon\n• Přírodní ingredience;Vitamin B komplex, magnesium, železo, koenzym Q10;Základní formule pro každodenní podporu regenerace a vitálnosti.;1 tobolka denně s jídlem.;https://example.com/xtend-core-video;• GMP certifikát\n• Přírodní ingredience;
18;XP060;Xtend+ Premium 60 tobolek;Pokročilý regenerační komplex;1875;;;images/302200.png;restore;NE;;Pokročilý regenerační komplex s vyšší koncentrací účinných látek.;• Intenzivní regenerace\n• Vyšší koncentrace účinných látek\n• Rychlejší výsledky\n• Komplexní působení;Vitamin B komplex, magnesium, železo, koenzym Q10, NAD+, PQQ;Premium verze s rozšířeným spektrem účinných látek pro maximální regeneraci.;1 tobolka denně s jídlem.;https://example.com/xtend-premium-video;• GMP certifikát\n• Klinicky testováno;
19;PR060;Protect+ 60 tobolek;Ochrana před oxidačním stresem;1450;;;images/302401.png;immune;NE;;Komplexní ochrana před oxidačním stresem a volnými radikály.;• Ochrana před volnými radikály\n• Posilení imunitního systému\n• Podpora přirozených obran\n• Antioxidační účinek;Vitamin C, vitamin D3, zinek, selen, echinaceae;Kombinace vitaminů a minerálů pro podporu imunitního systému a ochranu buněk.;1 tobolka denně s jídlem.;https://example.com/protect-video;• GMP certifikát\n• Přírodní ingredience;
21;GH030;GutHealth+ 30 tobolek;Podpora zdravého střevního mikrobiomu;1675;;;images/302600.png;gut-health;NE;;Komplexní podpora zdravého střevního mikrobiomu a trávení.;• Podpora zdravého střevního mikrobiomu\n• Zlepšení trávení\n• Posilení imunitního systému\n• Přírodní ingredience;Probiotické kultury, prebiotika, živiny pro střevní stěnu;Speciálně navržená formule pro podporu zdravého střevního prostředí.;1 tobolka denně s jídlem.;https://example.com/guthealth-video;• Živé kultury garantovány\n• GMP certifikát;
22;PR090;Probiotic+ 90 tobolek;Živé probiotické kultury;1950;;;images/302700.png;gut-health;NE;;Vyšší koncentrace živých probiotických kultur pro optimální střevní zdraví.;• Vyšší koncentrace probiotik\n• Více kmenů bakterií\n• Dlouhodobá stabilita\n• Odolnost vůči žaludeční kyselinaě;Probiotické kultury (10 miliard CFU), prebiotika;Premium formule s vyšší koncentrací živých kultur pro maximální účinnost.;1 tobolka denně na láčný žaludek.;https://example.com/probiotic-video;• Živé kultury garantovány\n• Klinicky testováno;
23;LB060;LeanBoost+ 60 tobolek;Podpora zdravého metabolismu;1575;;;images/309000.png;weight-management;NE;;Přírodní podpora zdravého metabolismu a řízení hmotnosti.;• Podpora metabolismu\n• Zvýšení energetického výdeje\n• Regulace chuť k jídlu\n• Přírodní ingredience;Zelený čaj extrakt, L-karnitin, chrom, CLA;Kombinace účinných látek pro podporu přirozeného metabolismu a energetického výdeje.;2 tobolky denně 30 minut před jídlem.;https://example.com/leanboost-video;• Přírodní ingredience\n• GMP certifikát;
24;EB160;Energy Bar 4x40g pack;Energetické tyčinky s přirozenými ingrediencemi;700;;;images/309011.png;weight-management;NE;;Přírodné energetické tyčinky pro rychlou energii a spálení tuků.;• Rychlá energie\n• Přírodní ingredience\n• Bohaté na bílkoviny\n• Bez umělých příchutí;Ovázané vločky, mandlové máslo, četkové bílkoviny, přírodní sladidla;Ideální sváčina pro aktivní životmí styl a podporu energetického metabolismu.;1-2 tyčinky denně podle potřeby.;https://example.com/energy-bar-video;• Bez gluten\n• Přírodní ingredience;
25;MT001;Měřicí pásmo;Měřicí pásmo pro sledování pokroku;300;;;images/309049.png;accessories;NE;;Praktické měřicí pásmo pro sledování pokroku při hubnutí.;• Přesné měření\n• Snadné použití\n• Kompaktní velikost\n• Trvanlivost;Plátno, kov;Nezbytný nástroj pro sledování pokroku při řízení hmotnosti a fitness cílích.;Měřte pravidelně ve stejnou denni dobu.;;• Přesnost do 1 mm\n• Délka 150 cm;
26;CP001;Čisticí přípravky;Jemné čisticí produkty pro denní péči;1125;;;images/309060.png;skin-care;NE;;Jemné čisticí produkty pro každodenní péči o pleasu.;• Jemné čištění\n• Bez vysušení pleti\n• Vhodné pro všechny typy pleti\n• Přírodní ingredience;Přírodní čisticí látky, aloe vera, vitamion E;Speciálně navržený pro každodenní jemné čištění bez poškození přirozené ochranné bariéry pleti.;Aplikujte na vlhkou pleť, jemně vmasujte a opláchněte.;;\u2022 Testováno dermatology\n• Bez parabů;Hlavní přínosy: jemné čištění, hydratace, ochrana před volnými radikály\nIngredience: přírodní čisticí látky, aloe vera, vitamion E\nDoporučení: aplikujte na vlhkou pleť, jemně vmasujte a opláchněte
27;FC001;Krémy na obličej;Hydratační a vyvižující krémy;1625;;;images/colagen.png;skin-care;NE;;Hydratační a vyvižující krémy pro zdravou a zářivou pleť.;• Hluboká hydratace\n• Anti-aging účinek\n• Vyhlazuje vrásky\n• Zvyšuje elasticitu pleti;Kyselina hyaluronová, kolagen, vitamin C, přírodní oleje;Pokročilá formule s účinnými látkami pro obnovu a ochranu pleti.;Aplikujte ráno a večer na očištěnou pleť.;;\u2022 Klinicky testováno\n• Bez parabů;Hlavní přínosy: hydratace, anti-aging, vyhlazení vrásek\nIngredience: kyselina hyaluronová, kolagen, vitamin C, přírodní oleje\nDoporučení: aplikujte ráno a večer na očištěnou pleť
28;SE001;Séra;Koncentrované séra pro intenzivní péči;2125;;;images/viteco.png;skin-care;NE;;Vysoce koncentrovaná séra pro intenzivní péči a viditelmé výsledky.;• Vyšší koncentrace účinných látek\n• Rychlé výsledky\n• Intenzivní anti-aging účinek\n• Lepší vstřebávání;Peptidy, retinol, niacinamid, vitamin C sérum;Pokročilá technologie pro cílenou péči o problémové oblasti pleti.;Aplikujte 2-3 kapky na očištěnou pleť před krémem.;;\u2022 Farmaceutická kvalita\n• Klinicky testováno;Hlavní přínosy: intenzivní anti-aging, rychlé výsledky, lepší vstřebávání\nIngredience: peptidy, retinol, niacinamid, vitamin C sérum\nDoporučení: aplikujte 2-3 kapky na očištěnou pleť před krémem
29;MA001;Masky;Regenerační a hydratační masky;875;;;images/masks.png;skin-care;NE;;Regenerační a hydratační masky pro intenzivní péči.;• Intenzivní hydratace\n• Regenerace plete\n• Okamžitý efekt\n• Uklidňující účinek;Jíl, kyselina hyaluronová, extrakty z rostlin;Speciální masky pro okamžitou obnovu a hydrataci uničené pleti.;Aplikujte na 15-20 minut, pak opláchněte.;;\u2022 Testováno dermatology\n• Přírodní ingredience;Hlavní přínosy: intenzivní hydratace, regenerace pleti, okamžitý efekt\nIngredience: jíl, kyselina hyaluronová, extrakty z rostlin\nDoporučení: aplikujte na 15-20 minut, pak opláchněte
30;CB460;Collagen Boost 10x46ml;Kolagenový nápoj pro zdraví pleti zevnitř;3125;;;images/collagen-boost-10x46ml.png;skin-nutrition;NE;;Kolagenový nápoj pro podporu zdraví pleti, vlasech a nehteů zevnitř.;• Podpora tvorby vlastního kolagenu\n• Zlepšení elasticity pleti\n• Posilení vlaseů a nehteů\n• Anti-aging účinek;Morský kolagen, kyselina hyaluronová, vitamin C, biotin;Vyýivové doplňování pro podporu přirozené tvorby kolagenu a zdraví pleti.;1 lahvička denně, nejlépe na láčný žaludek.;https://example.com/collagen-boost-video;• Morský kolagen\n• Klinicky testováno;Hlavní přínosy: podpora tvorby kolagenu, zlepšení elasticity pleti, posílení vlasech a nehtů\nIngredience: morský kolagen, kyselina hyaluronová, vitamin C, biotin\nDoporučení: 1 lahvička denně, nejlépe na láčný žaludek
